threshold,precision,recall,f1
0.36000000000000004,0.7724358974358975,0.8743764172335601,0.8202510104233142
0.37000000000000005,0.7775980590376061,0.8721088435374149,0.8221462163317658
0.38000000000000006,0.7810337810337811,0.8702947845804989,0.8232518232518232
0.39000000000000007,0.7852156057494867,0.8671201814058956,0.8241379310344827
0.4000000000000001,0.7876033057851239,0.8643990929705215,0.8242162162162162
0.4100000000000001,0.7898913951545531,0.8575963718820862,0.822352685366384
0.4200000000000001,0.7913518052057095,0.854875283446712,0.8218879441901025
0.43000000000000005,0.7944162436548223,0.8517006802721089,0.8220617202889035
0.44000000000000006,0.7981260647359455,0.8498866213151928,0.8231934987920053
0.45000000000000007,0.7993153615746684,0.8471655328798186,0.8225451343020695
0.4600000000000001,0.8054474708171206,0.8448979591836735,0.8247011952191236
0.4700000000000001,0.8086500655307994,0.8394557823129252,0.8237650200267023
0.4800000000000001,0.8136865342163355,0.835827664399093,0.8246085011185682
0.4900000000000001,0.8168074699866608,0.8331065759637188,0.8248765154916928
0.5000000000000001,0.8184670551322277,0.8281179138321996,0.8232642019837692
0.5100000000000001,0.8200270635994588,0.8244897959183674,0.8222523744911805
0.5200000000000001,0.8236098450319052,0.8195011337868481,0.8215503523528075
0.5300000000000001,0.8259871441689624,0.8158730158730159,0.8208989276751084
0.5400000000000001,0.8278574733919482,0.8113378684807256,0.8195144296839212
0.55,0.8306112925804946,0.8072562358276644,0.8187672493100276
0.56,0.8335684062059239,0.8040816326530612,0.8185595567867036
0.5700000000000001,0.8368121442125237,0.8,0.8179921168560167
0.5800000000000001,0.839157491622786,0.7950113378684808,0.8164881229622729
0.5900000000000001,0.840173829068083,0.7891156462585034,0.813844714686623
0.6000000000000001,0.8426966292134831,0.782312925170068,0.8113828786453434
0.6100000000000001,0.84498031496063,0.7786848072562358,0.8104791125796554
0.6200000000000001,0.8462686567164179,0.7714285714285715,0.80711743772242
0.6300000000000001,0.8474661314601104,0.7659863945578231,0.8046688899475941
0.6400000000000001,0.8511722731906218,0.7573696145124716,0.8015358771298297
0.6500000000000001,0.8537590113285273,0.7519274376417233,0.7996141789245238
0.6600000000000001,0.8561750911933299,0.7451247165532879,0.7967992240543162
0.6700000000000002,0.856388595564942,0.7356009070294784,0.7914125396438155
0.6800000000000002,0.8585157501334757,0.7292517006802721,0.788621873467386
0.6900000000000002,0.8621621621621621,0.7233560090702947,0.7866831072749692
0.7000000000000002,0.8635863586358636,0.7120181405895691,0.7805120556798409
0.7100000000000002,0.8659562535053281,0.7002267573696145,0.7743229689067201
0.7200000000000001,0.8717067583046965,0.6902494331065759,0.7704378638319412
0.7300000000000001,0.8758055067369654,0.6780045351473923,0.7643149284253579
0.7400000000000001,0.8777108433734939,0.6607709750566894,0.7539456662354463
0.7500000000000001,0.8780788177339901,0.6467120181405895,0.7448419952990337
0.7600000000000001,0.8782664117272148,0.6249433106575963,0.730259671436142
0.7700000000000001,0.8825857519788918,0.6068027210884354,0.7191615157215803
0.7800000000000001,0.8902691511387164,0.5850340136054422,0.7060755336617406
0.7900000000000001,0.8905472636815921,0.5682539682539682,0.6937984496124031
0.8000000000000002,0.8952524491333835,0.5387755102040817,0.6727066817667045
0.8100000000000002,0.8992,0.509750566893424,0.6506512301013024
0.8200000000000002,0.903364969801553,0.4748299319727891,0.6224732461355529
0.8300000000000002,0.911520737327189,0.4485260770975057,0.6012158054711246
0.8400000000000002,0.9159248269040554,0.4199546485260771,0.5758706467661692
0.8500000000000002,0.9230769230769231,0.39183673469387753,0.5501432664756447
0.8600000000000002,0.928654970760234,0.3600907029478458,0.5189542483660131
0.8700000000000001,0.930628272251309,0.3224489795918367,0.4789491411249579
0.8800000000000001,0.9313725490196079,0.30158730158730157,0.4556354916067146
0.8900000000000001,0.9405487804878049,0.27981859410430837,0.43131772107654665
0.9000000000000001,0.9523809523809523,0.26303854875283444,0.41222459132906897
