outcome,feature_set,model,fpr,tpr,threshold,auc
high_debt_burden,full,LDA,0.7608346709470305,0.9900226757369615,0.014168208242755649,0.913517723836458
high_debt_burden,full,LDA,0.7608346709470305,0.9904761904761905,0.01413870703154386,0.913517723836458
high_debt_burden,full,LDA,0.7637239165329053,0.9904761904761905,0.013633144194890463,0.913517723836458
high_debt_burden,full,LDA,0.7637239165329053,0.9909297052154195,0.013616877862117328,0.913517723836458
high_debt_burden,full,LDA,0.7720706260032103,0.9909297052154195,0.013052462020246755,0.913517723836458
high_debt_burden,full,LDA,0.7720706260032103,0.9913832199546485,0.013036060538102702,0.913517723836458
high_debt_burden,full,LDA,0.7961476725521669,0.9913832199546485,0.011318620463329116,0.913517723836458
high_debt_burden,full,LDA,0.7961476725521669,0.9918367346938776,0.011315308199110875,0.913517723836458
high_debt_burden,full,LDA,0.8096308186195826,0.9918367346938776,0.010428810837589947,0.913517723836458
high_debt_burden,full,LDA,0.8096308186195826,0.9922902494331066,0.010413282283536716,0.913517723836458
high_debt_burden,full,LDA,0.8150882825040129,0.9922902494331066,0.010150492602668898,0.913517723836458
high_debt_burden,full,LDA,0.8150882825040129,0.9927437641723356,0.010100048264103448,0.913517723836458
high_debt_burden,full,LDA,0.8324237560192617,0.9927437641723356,0.009165438810673578,0.913517723836458
high_debt_burden,full,LDA,0.8324237560192617,0.9931972789115646,0.00914037506056166,0.913517723836458
high_debt_burden,full,LDA,0.8337078651685393,0.9931972789115646,0.009080373414555934,0.913517723836458
high_debt_burden,full,LDA,0.8337078651685393,0.9936507936507937,0.00907966295285564,0.913517723836458
high_debt_burden,full,LDA,0.8388443017656501,0.9936507936507937,0.008875071224837047,0.913517723836458
high_debt_burden,full,LDA,0.8388443017656501,0.9941043083900227,0.008839668465756732,0.913517723836458
high_debt_burden,full,LDA,0.8394863563402889,0.9941043083900227,0.008817184946808047,0.913517723836458
high_debt_burden,full,LDA,0.8394863563402889,0.9945578231292517,0.008816892855908334,0.913517723836458
high_debt_burden,full,LDA,0.845585874799358,0.9945578231292517,0.008553844919485907,0.913517723836458
high_debt_burden,full,LDA,0.845585874799358,0.9950113378684807,0.00855302447834259,0.913517723836458
high_debt_burden,full,LDA,0.8523274478330658,0.9950113378684807,0.008214403870516385,0.913517723836458
