outcome,feature_set,model,fpr,tpr,threshold,auc
default,app,"Logistic (app, calibrated)",0.1021062271062271,0.24293785310734464,0.05382533184624425,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.10225885225885226,0.24293785310734464,0.05372230516187384,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.10271672771672771,0.24293785310734464,0.05368490663238901,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.10286935286935286,0.24858757062146894,0.053629523988134455,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.10668498168498168,0.2542372881355932,0.05349848763954905,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.10714285714285714,0.2542372881355932,0.05347518649532508,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.10744810744810745,0.2542372881355932,0.053385326959743816,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.10775335775335776,0.2542372881355932,0.053363206918006556,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.10821123321123322,0.2542372881355932,0.05329474089311809,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.11385836385836386,0.2655367231638418,0.053080629344859166,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.11401098901098901,0.2655367231638418,0.05300251754423113,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.11462148962148962,0.2711864406779661,0.05295038519664972,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.11645299145299146,0.2768361581920904,0.05287340790999171,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.11828449328449328,0.2768361581920904,0.05271081665038533,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.11874236874236874,0.2768361581920904,0.052410346557323295,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.11965811965811966,0.2768361581920904,0.0522692642450867,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12026862026862027,0.2768361581920904,0.05218181202584612,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12057387057387058,0.2768361581920904,0.05177830376346382,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12087912087912088,0.2768361581920904,0.05163088895517258,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12133699633699634,0.2768361581920904,0.051291203910807895,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12225274725274725,0.2768361581920904,0.05115816710805413,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.1224053724053724,0.2768361581920904,0.05105787053238962,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.1227106227106227,0.2824858757062147,0.050766169638543815,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12301587301587301,0.2824858757062147,0.050397870103316623,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12347374847374848,0.2824858757062147,0.050229690349630374,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12408424908424909,0.2824858757062147,0.050174905303850416,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12438949938949939,0.2824858757062147,0.05014321458088825,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12454212454212454,0.2824858757062147,0.050118772026240634,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12484737484737485,0.2824858757062147,0.05006355004521758,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.125,0.2824858757062147,0.04973808425457601,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.1259157509157509,0.2937853107344633,0.04948910039022988,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12652625152625152,0.2937853107344633,0.04934000682770891,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12683150183150182,0.2937853107344633,0.049168508654214994,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12698412698412698,0.2937853107344633,0.049093491099300855,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12728937728937728,0.2937853107344633,0.049054375733290974,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.1278998778998779,0.2937853107344633,0.049019273087431744,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.12835775335775335,0.2937853107344633,0.048807125071354894,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.1295787545787546,0.2994350282485876,0.04872757219358594,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.1298840048840049,0.2994350282485876,0.04857490530385041,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.1298840048840049,0.3050847457627119,0.04855427703659918,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.1301892551892552,0.3050847457627119,0.04847992607830327,0.6763600884363596
