outcome,feature_set,model,threshold,precision,recall,f1,accuracy,specificity,TP,FP,TN,FN
default,full,Logistic L2,0.9,0.1419141914191419,0.24293785310734464,0.17916666666666664,0.9414474661911131,0.9603174603174603,43,260,6292,134
default,full,Logistic L2,0.91,0.1474820143884892,0.23163841807909605,0.18021978021978022,0.9445682865210284,0.9638278388278388,41,237,6315,136
default,full,Logistic L2,0.92,0.14285714285714285,0.20903954802259886,0.16972477064220182,0.9462030019319364,0.9661172161172161,37,222,6330,140
default,full,Logistic L2,0.93,0.1459227467811159,0.192090395480226,0.16585365853658537,0.949175211769951,0.9696275946275946,34,199,6353,143
default,full,Logistic L2,0.9400000000000001,0.1553398058252427,0.1807909604519774,0.1671018276762402,0.9525932530836677,0.9734432234432234,32,174,6378,145
default,full,Logistic L2,0.9500000000000001,0.15846994535519127,0.1638418079096045,0.1611111111111111,0.9551196314459801,0.9764957264957265,29,154,6398,148
default,full,Logistic L2,0.96,0.18055555555555555,0.14689265536723164,0.16199376947040497,0.9600237776787042,0.9819902319902319,26,118,6434,151
default,full,Logistic L2,0.97,0.1782178217821782,0.1016949152542373,0.12949640287769784,0.9640362609600238,0.9873321123321124,18,83,6469,159
default,full,Logistic L2,0.98,0.16417910447761194,0.062146892655367235,0.09016393442622951,0.9670084707980383,0.9914529914529915,11,56,6496,166
default,full,Logistic L2,0.99,0.17857142857142858,0.02824858757062147,0.04878048780487805,0.971020954079358,0.9964896214896215,5,23,6529,172
default,full,Logistic L1,0.01,0.0491564863292612,0.9548022598870056,0.09349930843706776,0.5130034180413137,0.5010683760683761,169,3269,3283,8
default,full,Logistic L1,0.02,0.054533288725326194,0.9209039548022598,0.10296904611497157,0.5779462030019319,0.5686813186813187,163,2826,3726,14
default,full,Logistic L1,0.03,0.05785426583668986,0.8926553672316384,0.10866574965612104,0.6148016049933125,0.6072954822954822,158,2573,3979,19
default,full,Logistic L1,0.04,0.060015588464536244,0.8700564971751412,0.11228581844695588,0.6381334522217269,0.6318681318681318,154,2412,4140,23
default,full,Logistic L1,0.05,0.06206040546131568,0.847457627118644,0.1156515034695451,0.6590875315797295,0.653998778998779,150,2267,4285,27
default,full,Logistic L1,0.06,0.06418039895923677,0.8361581920903954,0.11921063229963755,0.6749888542131074,0.6706349206349206,148,2158,4394,29
default,full,Logistic L1,0.07,0.06618640252138676,0.8305084745762712,0.1226021684737281,0.6873235250408679,0.6834554334554335,147,2074,4478,30
default,full,Logistic L1,0.08,0.06788389513108614,0.8192090395480226,0.12537829658452226,0.6993609748848268,0.6961233211233211,145,1991,4561,32
default,full,Logistic L1,0.09,0.06857976653696499,0.7966101694915254,0.12628750559785046,0.7100609303016793,0.7077228327228328,141,1915,4637,36
default,full,Logistic L1,0.1,0.06984924623115578,0.7853107344632768,0.1282879556991232,0.7192747807995244,0.7174908424908425,139,1851,4701,38
default,full,Logistic L1,0.11,0.0711318795430945,0.7740112994350282,0.13029006181645267,0.7281914103135682,0.7269536019536019,137,1789,4763,40
default,full,Logistic L1,0.12,0.07104700854700854,0.751412429378531,0.12981942410932162,0.7350274929410017,0.7345848595848596,133,1739,4813,44
default,full,Logistic L1,0.13,0.07158590308370044,0.7344632768361582,0.13045659809332666,0.742458017536038,0.7426739926739927,130,1686,4866,47
default,full,Logistic L1,0.14,0.0720771850170261,0.7175141242937854,0.13099535843218155,0.749591321147273,0.7504578754578755,127,1635,4917,50
default,full,Logistic L1,0.15,0.07345286292654714,0.7175141242937854,0.13326337880377753,0.7544954673799971,0.7554945054945055,127,1602,4950,50
default,full,Logistic L1,0.16,0.07541567695961995,0.7175141242937854,0.13648576034390114,0.7611829395155298,0.7623626373626373,127,1557,4995,50
default,full,Logistic L1,0.17,0.07659574468085106,0.711864406779661,0.13830954994511527,0.7666815277158567,0.7681623931623932,126,1519,5033,51
default,full,Logistic L1,0.18,0.07744733581164807,0.7062146892655368,0.13958682300390843,0.7709912319809779,0.7727411477411478,125,1489,5063,52
default,full,Logistic L1,0.19,0.07901390644753477,0.7062146892655368,0.14212620807276863,0.7757467677218012,0.7776251526251526,125,1457,5095,52
default,full,Logistic L1,0.2,0.08059316569954868,0.7062146892655368,0.14467592592592593,0.7803536929707238,0.7823565323565324,125,1426,5126,52
default,full,Logistic L1,0.21,0.08185985592665357,0.7062146892655368,0.1467136150234742,0.7839203447763412,0.786019536019536,125,1402,5150,52
default,full,Logistic L1,0.22,0.08361204013377926,0.7062146892655368,0.14952153110047847,0.7886758805171645,0.7909035409035409,125,1370,5182,52
default,full,Logistic L1,0.23,0.08316291751874574,0.6892655367231638,0.14841849148418493,0.7919453113389805,0.7947191697191697,122,1345,5207,55
default,full,Logistic L1,0.24,0.08442906574394464,0.6892655367231638,0.15043156596794083,0.7952147421607966,0.7980769230769231,122,1323,5229,55
