outcome,feature_set,model,threshold,precision,recall,f1,accuracy,specificity,TP,FP,TN,FN
high_debt_burden,full,Logistic L2,0.87,0.9165818921668362,0.40861678004535146,0.5652446675031367,0.7394736842105263,0.9736757624398074,901,82,3033,1304
high_debt_burden,full,Logistic L2,0.88,0.918918918918919,0.3854875283446712,0.5431309904153355,0.731203007518797,0.9759229534510433,850,75,3040,1355
high_debt_burden,full,Logistic L2,0.89,0.925754060324826,0.3619047619047619,0.5203782197587218,0.7234962406015037,0.979454253611557,798,64,3051,1407
high_debt_burden,full,Logistic L2,0.9,0.9345679012345679,0.34331065759637186,0.5021558872305141,0.7178571428571429,0.9829855537720706,757,53,3062,1448
high_debt_burden,full,Logistic L2,0.91,0.9371584699453552,0.3111111111111111,0.4671433435478379,0.7058270676691729,0.9852327447833066,686,46,3069,1519
high_debt_burden,full,Logistic L2,0.92,0.940387481371088,0.28616780045351475,0.43880389429763567,0.6966165413533835,0.9871589085072231,631,40,3075,1574
high_debt_burden,full,Logistic L2,0.93,0.9464285714285714,0.26439909297052155,0.413328606876994,0.6889097744360902,0.989406099518459,583,33,3082,1622
high_debt_burden,full,Logistic L2,0.9400000000000001,0.9566003616636528,0.2399092970521542,0.38361131254532266,0.6804511278195489,0.9922953451043338,529,24,3091,1676
high_debt_burden,full,Logistic L2,0.9500000000000001,0.9673469387755103,0.21496598639455783,0.3517625231910946,0.6716165413533834,0.9948635634028893,474,16,3099,1731
high_debt_burden,full,Logistic L2,0.96,0.9765807962529274,0.1891156462585034,0.3168693009118541,0.66203007518797,0.9967897271268058,417,10,3105,1788
high_debt_burden,full,Logistic L2,0.97,0.9806629834254144,0.16099773242630386,0.2765874561745228,0.6509398496240602,0.9977528089887641,355,7,3108,1850
high_debt_burden,full,Logistic L2,0.98,0.9827586206896551,0.1292517006802721,0.22845691382765532,0.6381578947368421,0.9983948635634029,285,5,3110,1920
high_debt_burden,full,Logistic L2,0.99,0.9900990099009901,0.09070294784580499,0.16618196925633566,0.6227443609022556,0.9993579454253612,200,2,3113,2005
high_debt_burden,full,Logistic L1,0.01,0.44561688311688313,0.9959183673469387,0.615729706995654,0.4847744360902256,0.12295345104333869,2196,2732,383,9
high_debt_burden,full,Logistic L1,0.02,0.4865045728306937,0.9891156462585035,0.6522129186602871,0.562781954887218,0.2609951845906902,2181,2302,813,24
high_debt_burden,full,Logistic L1,0.03,0.5161827701094717,0.9836734693877551,0.6770719525518963,0.6110902255639098,0.3473515248796148,2169,2033,1082,36
