outcome,feature_set,model,precision,recall,threshold,average_precision
default,app,"Logistic (app, calibrated)",0.031483970051833364,0.9265536723163842,0.008992488347889044,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031496062992125984,0.9265536723163842,0.009075119409465916,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031502112946600075,0.9265536723163842,0.009124103310620765,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031508165225744476,0.9265536723163842,0.009175027870680044,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03152027676340573,0.9265536723163842,0.009207119257755978,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031526336024605923,0.9265536723163842,0.0092103948025987,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03138840747159638,0.9209039548022598,0.009212595242936583,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0313944530046225,0.9209039548022598,0.009225462720239077,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031430775163902816,0.9209039548022598,0.009231871308077715,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03145503666538016,0.9209039548022598,0.009298696195247919,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031461107894228915,0.9209039548022598,0.00935047056185325,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03154635184826785,0.9209039548022598,0.009368767697678328,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03155856727976767,0.9209039548022598,0.00944794365271808,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0316013958898798,0.9209039548022598,0.00945295827759562,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03161365399534523,0.9209039548022598,0.009473479914209399,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03165663235579724,0.9209039548022598,0.00953140307935971,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031693564067664784,0.9209039548022598,0.009565244311051196,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031699727732399846,0.9209039548022598,0.009691775365723132,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03171823311928391,0.9209039548022598,0.009773636166084907,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03172440638380693,0.9209039548022598,0.009790906803463988,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0317305820517812,0.9209039548022598,0.009836314319232969,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031742940603700094,0.9209039548022598,0.009855619898119294,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031755308786284825,0.9209039548022598,0.00990766994611558,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0317738791423002,0.9209039548022598,0.009938475197957439,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03179247123073922,0.9209039548022598,0.009979625571829468,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031929480901077376,0.9209039548022598,0.010014351978896687,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03193573667711599,0.9209039548022598,0.010045255748288014,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03194825558604469,0.9209039548022598,0.010045733536444322,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03195451872181925,0.9209039548022598,0.010074180873171622,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03196078431372549,0.9209039548022598,0.010127968593356417,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03196705236320847,0.9209039548022598,0.010212505321042805,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0319733228717144,0.9209039548022598,0.010223358713847427,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0319795958406906,0.9209039548022598,0.010233228928881103,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03198587127158556,0.9209039548022598,0.010329467845363469,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031998429524931295,0.9209039548022598,0.010385391802709785,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.032143561427726286,0.9209039548022598,0.010390358441772735,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.032149901380670615,0.9209039548022598,0.010393281145878532,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03196527229676401,0.9152542372881356,0.010410928064201103,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031990521327014215,0.9152542372881356,0.010437695339735757,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03199683981828955,0.9152542372881356,0.010452931993689228,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03200316080600553,0.9152542372881356,0.010490432951913332,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.032009484291641965,0.9152542372881356,0.010517726943179527,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.032015810276679844,0.9152542372881356,0.01056087340269316,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03202213876260131,0.9152542372881356,0.010578751932383373,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03202846975088968,0.9152542372881356,0.010615188941326103,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.032060162279833763,0.9152542372881356,0.010678510558922579,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.032098276203685355,0.9152542372881356,0.010688651420373797,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03213648085697282,0.9152542372881356,0.010703490333975323,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03214285714285714,0.9152542372881356,0.010752464720888862,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03214923595951578,0.9152542372881356,0.010755110249753171,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03215561730845574,0.9152542372881356,0.010809957070756599,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03217477656405164,0.9152542372881356,0.01085590639061799,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03241296518607443,0.9152542372881356,0.010859289226847976,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03245192307692308,0.9152542372881356,0.010873770371271662,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03246492985971944,0.9152542372881356,0.010914158305462652,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.032490974729241874,0.9152542372881356,0.010929413835592325,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0324974924774323,0.9152542372881356,0.010959063384515967,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0325105358217941,0.9152542372881356,0.010974129265560243,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03251706142111602,0.9152542372881356,0.011086186804323791,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03252358964063441,0.9152542372881356,0.011094416549364647,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03253012048192771,0.9152542372881356,0.011096569504450537,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03233581040369552,0.9096045197740112,0.011169140645766924,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.032355305466237945,0.9096045197740112,0.011232953946281989,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03236831523924407,0.9096045197740112,0.011245664740441098,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03253839935327405,0.9096045197740112,0.011301358915983831,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.032544976753588035,0.9096045197740112,0.011384419710556874,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0325713129678333,0.9096045197740112,0.011395538868587084,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.032577903682719546,0.9096045197740112,0.01141079439871676,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03261089730605631,0.9096045197740112,0.01141288217285766,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03263072557762464,0.9096045197740112,0.011443178583351664,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03292433537832311,0.9096045197740112,0.011453925620051927,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.032937806873977085,0.9096045197740112,0.011459947203518084,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03294454675670145,0.9096045197740112,0.01146675798961188,0.053875242477803995
