outcome,feature_set,model,threshold,precision,recall,f1,accuracy,specificity,TP,FP,TN,FN
high_debt_burden,app,"Logistic (app, calibrated)",0.16,0.43161277364932715,0.9746031746031746,0.5982739420935411,0.4575187969924812,0.09149277688603531,2149,2830,285,56
high_debt_burden,app,"Logistic (app, calibrated)",0.17,0.4342265529841656,0.9700680272108844,0.5999158603281447,0.4637218045112782,0.10529695024077046,2139,2787,328,66
high_debt_burden,app,"Logistic (app, calibrated)",0.18,0.4370888157894737,0.964172335600907,0.601499504880464,0.4704887218045113,0.12102728731942215,2126,2738,377,79
high_debt_burden,app,"Logistic (app, calibrated)",0.19,0.4419820196529375,0.9587301587301588,0.6050372066399542,0.48120300751879697,0.14317817014446227,2114,2669,446,91
high_debt_burden,app,"Logistic (app, calibrated)",0.2,0.4447257383966245,0.9560090702947845,0.6070554355651547,0.4870300751879699,0.1550561797752809,2108,2632,483,97
high_debt_burden,app,"Logistic (app, calibrated)",0.21,0.44768804602599616,0.9528344671201814,0.6091620759640476,0.4932330827067669,0.16789727126805779,2101,2592,523,104
high_debt_burden,app,"Logistic (app, calibrated)",0.22,0.44794344473007713,0.9482993197278912,0.6084679179397643,0.49417293233082704,0.1727126805778491,2091,2577,538,114
high_debt_burden,app,"Logistic (app, calibrated)",0.23,0.4499891985310002,0.944671201814059,0.6095990635059995,0.49849624060150377,0.1826645264847512,2083,2546,569,122
high_debt_burden,app,"Logistic (app, calibrated)",0.24,0.45242760722839104,0.9424036281179138,0.6113562812591938,0.5033834586466165,0.1926163723916533,2078,2515,600,127
high_debt_burden,app,"Logistic (app, calibrated)",0.25,0.4546261371200355,0.9292517006802721,0.6105482717520858,0.5086466165413533,0.21091492776886037,2049,2458,657,156
high_debt_burden,app,"Logistic (app, calibrated)",0.26,0.4599495065411981,0.908843537414966,0.6107893934775983,0.5199248120300752,0.2446227929373997,2004,2353,762,201
high_debt_burden,app,"Logistic (app, calibrated)",0.27,0.4641759281153937,0.890249433106576,0.610195834628536,0.5285714285714286,0.27255216693418943,1963,2266,849,242
high_debt_burden,app,"Logistic (app, calibrated)",0.28,0.4675892206846322,0.8734693877551021,0.6091081593927894,0.5353383458646617,0.29598715890850724,1926,2193,922,279
high_debt_burden,app,"Logistic (app, calibrated)",0.29,0.47283150548354935,0.8603174603174604,0.6102621843332797,0.5445488721804511,0.32102728731942215,1897,2115,1000,308
high_debt_burden,app,"Logistic (app, calibrated)",0.3,0.4847218594933403,0.8417233560090703,0.6151806430228703,0.5635338345864662,0.3666131621187801,1856,1973,1142,349
high_debt_burden,app,"Logistic (app, calibrated)",0.31,0.49045442323205163,0.8272108843537415,0.6158001350438893,0.5721804511278196,0.391653290529695,1824,1895,1220,381
high_debt_burden,app,"Logistic (app, calibrated)",0.32,0.4966850828729282,0.8154195011337868,0.6173390557939914,0.581015037593985,0.41508828250401286,1798,1822,1293,407
high_debt_burden,app,"Logistic (app, calibrated)",0.33,0.5009845288326301,0.8077097505668934,0.6184027777777777,0.5868421052631579,0.4304975922953451,1781,1774,1341,424
high_debt_burden,app,"Logistic (app, calibrated)",0.34,0.50471293916024,0.8013605442176871,0.619348054679285,0.5917293233082707,0.44333868378812197,1767,1734,1381,438
high_debt_burden,app,"Logistic (app, calibrated)",0.35000000000000003,0.5065502183406113,0.7891156462585034,0.6170212765957447,0.5939849624060151,0.45585874799357945,1740,1695,1420,465
high_debt_burden,app,"Logistic (app, calibrated)",0.36,0.5106128550074739,0.7746031746031746,0.6154954954954955,0.5988721804511278,0.47447833065810596,1708,1637,1478,497
high_debt_burden,app,"Logistic (app, calibrated)",0.37,0.5158023933722,0.7623582766439909,0.6153001464128843,0.6048872180451128,0.49341894060995184,1681,1578,1537,524
high_debt_burden,app,"Logistic (app, calibrated)",0.38,0.5194601381042059,0.7505668934240363,0.6139862734186607,0.6088345864661654,0.5085072231139647,1655,1531,1584,550
high_debt_burden,app,"Logistic (app, calibrated)",0.39,0.524394184168013,0.7360544217687075,0.6124528301886792,0.6139097744360902,0.5274478330658106,1623,1472,1643,582
high_debt_burden,app,"Logistic (app, calibrated)",0.4,0.5246934040437521,0.7179138321995465,0.6062811183454615,0.6135338345864662,0.5396468699839486,1583,1434,1681,622
high_debt_burden,app,"Logistic (app, calibrated)",0.41000000000000003,0.527729934550465,0.6947845804988663,0.5998433829287392,0.6157894736842106,0.5598715890850723,1532,1371,1744,673
high_debt_burden,app,"Logistic (app, calibrated)",0.42,0.5327573794096472,0.671201814058957,0.594019666867349,0.6197368421052631,0.58330658105939,1480,1298,1817,725
high_debt_burden,app,"Logistic (app, calibrated)",0.43,0.5373971578160059,0.6517006802721088,0.5890551342488214,0.6231203007518797,0.6028892455858748,1437,1237,1878,768
high_debt_burden,app,"Logistic (app, calibrated)",0.44,0.541403785488959,0.6226757369614513,0.5792026998523518,0.625,0.626645264847512,1373,1163,1952,832
high_debt_burden,app,"Logistic (app, calibrated)",0.45,0.5480295566502463,0.6054421768707483,0.5753070458952811,0.6295112781954887,0.6465489566613162,1335,1101,2014,870
high_debt_burden,app,"Logistic (app, calibrated)",0.46,0.5612701252236136,0.5691609977324263,0.565188020716055,0.63703007518797,0.6850722311396469,1255,981,2134,950
high_debt_burden,app,"Logistic (app, calibrated)",0.47000000000000003,0.5666351606805293,0.5437641723356009,0.554964128673918,0.6385338345864662,0.7056179775280899,1199,917,2198,1006
high_debt_burden,app,"Logistic (app, calibrated)",0.48,0.5746492985971944,0.5201814058956916,0.5460604617948107,0.6415413533834586,0.7274478330658106,1147,849,2266,1058
high_debt_burden,app,"Logistic (app, calibrated)",0.49,0.5827455236028215,0.48707482993197276,0.5306324110671937,0.6428571428571429,0.7531300160513643,1074,769,2346,1131
high_debt_burden,app,"Logistic (app, calibrated)",0.5,0.580325960419092,0.45215419501133786,0.5082844761661993,0.637406015037594,0.7685393258426966,997,721,2394,1208
high_debt_burden,app,"Logistic (app, calibrated)",0.51,0.5832313341493268,0.43219954648526077,0.49648345923417564,0.6366541353383459,0.7813804173354735,953,681,2434,1252
high_debt_burden,app,"Logistic (app, calibrated)",0.52,0.5870841487279843,0.40816326530612246,0.4815409309791332,0.6357142857142857,0.7967897271268057,900,633,2482,1305
high_debt_burden,app,"Logistic (app, calibrated)",0.53,0.5909722222222222,0.3859410430839002,0.4669410150891632,0.6347744360902255,0.8109149277688603,851,589,2526,1354
