outcome,feature_set,model,fpr,tpr,threshold,auc
high_debt_burden,app,"Logistic (app, calibrated)",0.010272873194221509,0.025396825396825397,0.6576909598510119,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.010914927768860353,0.02585034013605442,0.6575966391519386,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.01187800963081862,0.027664399092970523,0.6571921433202345,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.020545746388443017,0.039909297052154194,0.6562633058186054,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.021829855537720707,0.04353741496598639,0.654905839755257,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.02247191011235955,0.04353741496598639,0.6528616943638317,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.024719101123595506,0.045351473922902494,0.6520451864956509,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.024719101123595506,0.04580498866213152,0.6518134485133404,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.025682182985553772,0.04625850340136054,0.6518098645230588,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.025682182985553772,0.04671201814058957,0.6496814792199764,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.026324237560192615,0.04671201814058957,0.6492633058186053,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.026324237560192615,0.047165532879818596,0.6486809771420313,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.02696629213483146,0.047165532879818596,0.6479058397552568,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.02696629213483146,0.047619047619047616,0.6469175251837319,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.027287319422150885,0.048072562358276644,0.6467650339250859,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.02825040128410915,0.048072562358276644,0.6466063037663558,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.02825040128410915,0.04852607709750567,0.646576354679803,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.030497592295345103,0.05170068027210884,0.6457635718916631,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.030818619582664526,0.05170068027210884,0.6456735229701228,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.03113964686998395,0.05215419501133787,0.6451816830416631,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.03113964686998395,0.05396825396825397,0.6448098645230587,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.03178170144462279,0.05442176870748299,0.6424653959412374,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.03178170144462279,0.055328798185941046,0.6395715512748275,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.03210272873194221,0.05668934240362812,0.6395574234656641,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.03210272873194221,0.05714285714285714,0.6389372721718678,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.03242375601926164,0.05714285714285714,0.6382608254802087,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.03306581059390048,0.06031746031746032,0.6381999574023157,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.033386837881219905,0.06031746031746032,0.6378886653194904,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.035955056179775284,0.06349206349206349,0.6367446400475635,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.036276083467094704,0.06394557823129252,0.6366316526610645,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.036597110754414124,0.06394557823129252,0.6366051861604858,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.036597110754414124,0.06439909297052154,0.6363943284187996,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.03691813804173355,0.06439909297052154,0.6357733869552442,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.03691813804173355,0.06485260770975057,0.6357640495520085,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.038202247191011236,0.06848072562358276,0.6351039821701177,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.038202247191011236,0.06938775510204082,0.6340655036208032,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.038523274478330656,0.06938775510204082,0.6336999574023158,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.04654895666131621,0.08888888888888889,0.6329751102717102,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.04686998394863563,0.08888888888888889,0.6328543028935771,0.6700771994190935
